# Rime user dictionary
#@/db_name	sbfz.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	0
#@/user_id	main
byei 	醭	c=9 d=1e-07 t=0
byeu 	甭	c=2260 d=2.261e-05 t=0
byoe 	谤	c=1780 d=1.781e-05 t=0
byuo 	颁	c=11518 d=0.00011519 t=0
bzau 	跛	c=4207 d=4.208e-05 t=0
bzea 	舭	c=5 d=6e-08 t=0
bzea 	跸	c=125 d=1.26e-06 t=0
bzei 	罢	c=90937 d=0.00090938 t=0
bzeu 	跋	c=10394 d=0.00010395 t=0
bzia 	蹦	c=6675 d=6.676e-05 t=0
bzie 	巴	c=207379 d=0.0020738 t=0
bzoe 	踣	c=164 d=1.65e-06 t=0
bzou 	蹩	c=1686 d=1.687e-05 t=0
bzua 	孢	c=186 d=1.87e-06 t=0
bzua 	般	c=237181 d=0.00237182 t=0
bzua 	豹	c=21976 d=0.00021977 t=0
bzua 	趵	c=84 d=8.5e-07 t=0
bzui 	舶	c=3298 d=3.299e-05 t=0
bzuu 	舨	c=187 d=1.88e-06 t=0
c_ 	出	c=2525404 d=0.0252541 t=0
ca 	除	c=197239 d=0.0019724 t=0
cbao 	瘳	c=98 d=9.9e-07 t=0
cbea 	兹	c=72 d=7.3e-07 t=0
cbee 	瘛	c=17 d=1.8e-07 t=0
cbei 	财	c=103741 d=0.00103742 t=0
cbia 	冁	c=29 d=3e-07 t=0
cbia 	单	c=23 d=2.4e-07 t=0
cbia 	曾	c=228001 d=0.00228002 t=0
cbia 	赐	c=21618 d=0.00021619 t=0
cbie 	疵	c=1368 d=1.369e-05 t=0
cboe 	瘁	c=1445 d=1.446e-05 t=0
cbou 	瘥	c=73 d=7.4e-07 t=0
cbue 	痴	c=41029 d=0.0004103 t=0
cbuo 	疮	c=3632 d=3.633e-05 t=0
cbuo 	痤	c=59 d=6e-07 t=0
cbuu 	匆	c=52952 d=0.00052953 t=0
ccaa 	莼	c=119 d=1.2e-06 t=0
ccai 	蚩	c=577 d=5.78e-06 t=0
ccao 	蛏	c=16 d=1.7e-07 t=0
ccao 	辍	c=1698 d=1.699e-05 t=0
ccea 	彻	c=50759 d=0.0005076 t=0
ccea 	虿	c=116 d=1.17e-06 t=0
ccee 	蚕	c=6554 d=6.555e-05 t=0
ccee 	蝽	c=4 d=5e-08 t=0
ccee 	蠢	c=18098 d=0.00018099 t=0
ccee 	辏	c=132 d=1.33e-06 t=0
ccei 	厝	c=417 d=4.18e-06 t=0
ccei 	厨	c=26337 d=0.00026338 t=0
ccei 	螬	c=28 d=2.9e-07 t=0
cceu 	茬	c=1552 d=1.553e-05 t=0
cceu 	蒇	c=3 d=4e-08 t=0
cceu 	藏	c=100001 d=0.00100002 t=0
ccia 	厕	c=5031 d=5.032e-05 t=0
ccia 	唇	c=76837 d=0.00076838 t=0
ccia 	徂	c=177 d=1.78e-06 t=0
ccia 	草	c=122748 d=0.00122749 t=0
ccia 	菖	c=156 d=1.57e-06 t=0
ccia 	龊	c=1062 d=1.063e-05 t=0
ccie 	茈	c=10 d=1.1e-07 t=0
ccio 	徜	c=517 d=5.18e-06 t=0
ccoe 	茨	c=11449 d=0.0001145 t=0
ccoe 	茺	c=8 d=9e-08 t=0
ccoe 	萃	c=2898 d=2.899e-05 t=0
ccoe 	蔟	c=38 d=3.9e-07 t=0
ccoe 	螭	c=382 d=3.83e-06 t=0
ccou 	蝉	c=12741 d=0.00012742 t=0
ccua 	葱	c=5776 d=5.777e-05 t=0
ccua 	蔡	c=20277 d=0.00020278 t=0
ccua 	蟾	c=1452 d=1.453e-05 t=0
ccua 	龀	c=79 d=8e-07 t=0
ccue 	苌	c=150 d=1.51e-06 t=0
ccui 	茌	c=163 d=1.64e-06 t=0
